result,task,correct,wrong,empty,confident_wrong,found,missed,rows_verifiable,rows_total,placements_on_label,placements_total,cost_usd,wall_seconds,rows_fixed_by_hand,notes
app-v3,A,,,,,,,,,,,0,,,
app-v3,B,,,,,,,,,,,0,,,
app-v3,C,,,,,,,,,,,0,,,
app-v3,D,,,,,,,,,,,0,,,
app-v3,E,,,,,,,,,,,0,,,
openai,A,,,,,,,,,,,,,,
openai,B,,,,,,,,,,,,,,
openai,C,,,,,,,,,,,,,,
openai,D,,,,,,,,,,,,,,
openai,E,,,,,,,,,,,,,,
anthropic,A,,,,,,,,,,,,,,
anthropic,B,,,,,,,,,,,,,,
anthropic,C,,,,,,,,,,,,,,
anthropic,D,,,,,,,,,,,,,,
anthropic,E,,,,,,,,,,,,,,
google,A,,,,,,,,,,,,,,
google,B,,,,,,,,,,,,,,
google,C,,,,,,,,,,,,,,
google,D,,,,,,,,,,,,,,
google,E,,,,,,,,,,,,,,
