no,label,kind,page,page_x,page_y
1,FB 1,beam,25,2045,1228
2,FB 1,beam,25,2045,1585
3,FB 1,beam,25,2600,905
4,FB 1,beam,25,4580,1040
5,FB 1,beam,25,3085,2400
6,FB 1,beam,25,3895,1985
7,FB 1,beam,25,4595,1990
8,FB 1,beam,25,3895,2400
9,FB 1,beam,25,4260,2695
10,FB 1,beam,25,5150,2060
11,FB 1,beam,25,5315,2060
12,FB 1,beam,25,5205,2245
13,FB 2,beam,25,2940,958
14,FB 2,beam,25,3470,1830
15,FB 2,beam,25,4145,1550
16,FB 2,beam,25,3945,1620
17,FB 2,beam,25,4265,2085
18,FB 3,beam,25,1960,1440
19,FB 3,beam,25,2005,2017
20,FB 3,beam,25,1960,2360
21,FB 3,beam,25,3510,2665
22,FB 4,beam,25,3250,958
23,FB 5,beam,25,2600,1190
24,FB 5,beam,25,4990,1155
25,FB 6,beam,25,3510,2135
26,FB 7,beam,25,2565,1825
27,FB 8,beam,25,3085,1885
28,FB 9,beam,25,4530,1370
29,FB 10,beam,25,1600,2360
30,FB 11,beam,25,1700,2017
31,FB 11,beam,25,1470,2360
32,FB 11,beam,25,1700,2695
33,HDR 1,header,25,3730,905
34,HDR 1,header,25,1835,2360
35,HDR 1,header,25,3510,2595
36,HDR 1,header,25,4585,2490
37,HDR 2,header,25,2375,2695
38,HDR 3,header,25,2085,1520
39,HDR 4,header,25,5320,1390
40,HDR,header,25,2035,907
41,HDR,header,25,2275,907
42,HDR,header,25,2915,905
43,HDR,header,25,3255,905
44,HDR,header,25,4230,905
45,HDR,header,25,3375,1365
46,HDR,header,25,4280,1300
47,HDR,header,25,4060,1410
48,HDR,header,25,3955,1525
49,HDR,header,25,4370,1695
50,HDR,header,25,2970,2495
51,HDR,header,25,4035,2695
52,HDR,header,25,4475,2695
53,HDR,header,25,4995,2005
54,HDR,header,25,4815,2245
55,HDR,header,25,1985,2048
