no,label,page,page_x,page_y
1,HIP BM 1,26,2720,1520
2,HIP BM 1,26,3820,1670
3,HIP BM 1,26,3870,1965
4,HIP BM 1,26,2695,2090
5,HIP BM 2,26,2245,1050
6,HIP BM 2,26,4160,1340
7,HIP BM 2,26,2230,2560
8,HIP BM 2,26,4320,2420
9,RIDGE BM 1,26,3345,1805
10,RIDGE BM 1,26,4890,1700
11,RIDGE BM 2,26,2015,1415
12,RIDGE BM 2,26,2015,2365
13,RIDGE BM 2,26,5275,1510
14,RB 1,26,2090,1385
15,RB 1,26,2090,2345
16,RB 2,26,2425,1520
17,RB 2,26,2425,2270
18,RB 2?,26,5210,1570
19,RB 3,26,3680,1840
20,RHDR 1,26,1960,1360
21,RHDR 1,26,1960,2310
22,RHDR 1,26,5315,1440
23,RHDR 2,26,3985,2085
24,RHDR,26,2285,905
25,RHDR,26,2510,905
26,RHDR,26,2035,1225
27,RHDR,26,2512,1205
28,RHDR,26,3025,1335
29,RHDR,26,2035,1585
30,RHDR,26,3090,1990
31,RHDR,26,3555,905
32,RHDR,26,3935,905
33,RHDR,26,3795,1005
34,RHDR,26,3315,1435
35,RHDR,26,4180,1550
36,RHDR,26,4445,905
37,RHDR,26,5150,1155
38,RHDR,26,4450,1555
39,RHDR,26,4540,1760
40,RHDR,26,4785,1855
41,RHDR,26,4965,1855
42,RHDR,26,2190,2695
43,RHDR,26,2890,2695
44,RHDR,26,3340,2145
45,RHDR,26,3870,2290
46,RHDR,26,3870,2590
47,RHDR,26,3380,2665
48,RHDR,26,3670,2665
49,RHDR,26,4060,2695
50,RHDR,26,4585,2490
51,RHDR,26,5150,2070
52,R.R.1,26,2045,1290
53,R.R.1,26,2045,1520
54,R.R.1,26,2455,1680
55,R.R.1,26,3470,1330
56,R.R.1,26,4210,1610
57,R.R.1,26,4785,1400
58,R.R.1,26,5275,1290
59,R.R.1,26,5275,1710
60,R.R.1,26,4785,1990
61,R.R.1,26,2045,2165
62,R.R.1,26,2045,2555
63,R.R.1,26,3470,2290
